date,open,high,low,close,volume
2024-03-19,415.496,419.31,413.229,419.055,19949369.008317
2024-03-20,419.642,423.58,418.311,422.854,17960427.100575
2024-03-21,427.428,428.412,424.774,426.971,21415869.115329
2024-03-22,427.299,427.458,423.69,426.345,17747626.215271
2024-03-25,422.864,425.021,419.255,420.498,18161917.797624
2024-03-26,423.233,423.61,418.995,419.295,16819615.564733
2024-03-27,422.069,422.079,416.669,419.075,16798830.441496
2024-03-28,418.608,419.512,416.778,418.37,21994038.256001
2024-04-01,421.582,425.5,419.862,422.199,16407627.853749
2024-04-02,417.764,420.02,415.506,419.085,18012625.726142
2024-04-03,417.385,420.896,416.743,418.101,16594977.54722
2024-04-04,422.616,426.275,415.237,415.546,19479705.069256
2024-04-05,417.664,424.127,415.983,423.143,16647769.487544
2024-04-08,422.794,424.894,420.935,422.287,14341271.443273
2024-04-09,424.057,425.351,419.265,423.898,12582585.942106
2024-04-10,419.832,421.661,417.355,420.896,16307689.513855
2024-04-11,423.44,426.971,420.0,425.539,18067362.532126
2024-04-12,421.681,422.804,417.424,419.542,19361922.033836
2024-04-15,424.217,424.435,411.121,411.329,20387439.439383
2024-04-16,412.254,416.063,411.418,412.264,16859809.119846
2024-04-17,414.919,416.54,408.037,409.538,15944564.792763
2024-04-18,408.337,409.588,401.694,402.011,21148067.952064
2024-04-19,401.773,403.125,395.548,396.89,30167538.324082
2024-04-22,397.845,400.6,393.538,398.72,20400851.369743
2024-04-23,401.976,405.919,400.808,405.293,15822901.076586
2024-04-24,407.272,410.165,404.507,406.775,15149970.518679
2024-04-25,391.829,397.656,385.862,396.811,40814474.091032
2024-04-26,409.868,410.692,403.493,404.049,29861485.454509
2024-04-29,402.985,404.049,396.959,400.003,19692107.72974
2024-04-30,399.247,399.914,386.995,387.155,28943074.435613
2024-05-01,390.417,399.476,388.129,392.734,23694860.484101
2024-05-02,395.438,397.696,392.446,395.618,17808859.315034
2024-05-03,400.033,404.876,399.614,404.389,17544743.742588
2024-05-06,406.476,411.618,404.099,411.229,17092130.060651
2024-05-07,412.343,412.353,406.804,407.053,20130695.048578
2024-05-08,405.89,409.927,404.441,408.247,11858559.921833
2024-05-09,408.277,410.414,406.814,410.017,14772257.293896
2024-05-10,410.628,413.059,409.499,412.422,13477578.123616
2024-05-13,415.674,416.011,408.524,411.409,15526972.771373
2024-05-14,409.718,415.157,409.251,414.233,15194193.586048
2024-05-15,416.315,422.202,415.687,421.475,22324213.483965
2024-05-16,420.2,423.807,418.756,419.394,17596798.394309
2024-05-17,420.937,421.316,416.439,418.616,15410695.039903
2024-05-20,418.616,425.151,418.397,423.727,16334095.69474
2024-05-21,425.206,431.328,423.239,427.412,21534941.608079
2024-05-22,428.458,430.77,425.51,428.887,18142516.4187
2024-05-23,431.328,431.955,423.811,425.381,17277225.185242
2024-05-24,425.569,429.419,422.8,428.528,11900425.843171
2024-05-28,428.0,429.186,424.981,428.688,15777872.823233
2024-05-29,424.075,429.306,424.075,427.542,15576213.888054
2024-05-30,422.691,422.691,412.669,413.097,28533079.029899
2024-05-31,415.169,415.169,402.975,413.555,48177999.38588
2024-06-03,413.948,414.851,407.373,411.951,17551250.621933
2024-06-04,410.866,414.861,408.121,414.491,14403552.735199
2024-06-05,416.225,422.471,414.721,422.402,17052722.599243
2024-06-06,422.402,423.697,418.984,422.909,14917837.52666
2024-06-07,424.583,424.663,421.396,422.242,13673516.552881
2024-06-10,423.089,426.456,422.282,426.247,14056352.731832
2024-06-11,423.862,431.178,423.637,431.039,14606506.582253
2024-06-12,433.669,441.718,431.607,439.387,22451395.913939
2024-06-13,439.178,441.708,437.704,439.905,16021337.335847
2024-06-14,436.612,441.456,435.064,440.891,13633700.522219
2024-06-17,440.906,449.23,439.048,446.669,20869191.275646
2024-06-18,447.999,448.432,443.203,444.647,17177662.522914
2024-06-20,444.607,444.837,439.596,444.009,19953064.211082
2024-06-21,445.683,448.871,444.817,448.074,34617483.468413
2024-06-24,448.094,451.032,444.717,445.972,15974312.962409
2024-06-25,446.55,449.708,445.055,449.24,16811297.823785
2024-06-26,447.297,451.879,446.49,450.444,16569883.086404
2024-06-27,450.459,454.439,450.056,451.132,14862701.383557
2024-06-28,451.352,453.653,444.717,445.255,28470264.762037
2024-07-01,446.958,455.635,443.969,454.997,17730071.929137
2024-07-02,451.481,457.847,451.394,457.538,14033009.184799
2024-07-03,456.452,459.272,456.143,459.022,9970650.7964862
2024-07-05,457.867,466.573,457.224,465.787,16061213.594968
2024-07-08,464.781,465.926,462.698,464.471,13011677.055075
2024-07-09,465.229,465.557,456.263,457.797,17294107.222395
2024-07-10,459.47,464.691,457.114,464.481,18265384.483369
2024-07-11,461.224,463.017,449.838,452.975,23199174.39657
2024-07-12,452.602,454.629,448.935,451.83,16386431.214484
2024-07-15,451.58,455.525,449.718,452.238,14484389.36571
2024-07-16,452.497,452.577,444.965,447.815,17241078.071561
2024-07-17,440.911,443.163,437.514,441.838,21836852.821444
2024-07-18,442.655,442.963,432.752,438.7,20874001.521932
2024-07-19,431.457,439.466,430.362,435.452,21020150.897559
2024-07-22,440.114,442.913,437.248,441.26,15868949.295639
2024-07-23,442.211,446.689,441.419,443.163,13156957.133273
2024-07-24,438.78,439.806,425.963,427.273,26907867.256406
2024-07-25,427.174,428.17,415.926,416.813,30057810.660866
2024-07-26,416.614,427.288,415.687,423.657,23673638.13833
2024-07-29,429.943,430.51,423.093,425.111,15183429.975236
2024-07-30,426.097,427.422,415.777,421.316,32812041.041768
2024-07-31,418.9,420.175,410.646,416.763,43054681.55302
2024-08-01,419.189,425.839,411.523,415.528,30411758.259294
2024-08-02,410.925,413.425,402.807,406.94,29549989.3869
2024-08-05,387.694,399.518,384.117,393.651,40864244.760964
2024-08-06,398.482,404.131,396.988,398.094,25041512.777407
2024-08-07,407.085,408.524,395.962,396.919,20729537.539358
2024-08-08,400.914,404.321,398.423,401.162,20279956.181766
2024-08-09,402.497,406.502,400.737,404.48,19350064.906628
2024-08-12,405.516,407.21,402.71,405.267,16826710.28653
2024-08-13,408.036,413.376,408.016,412.439,19488193.859086
2024-08-14,413.227,416.135,410.882,415.279,18336534.370003
2024-08-15,418.961,420.269,416.826,420.189,20793682.319441
2024-08-16,419.76,420.498,416.466,417.634,22821181.535695
2024-08-19,418.123,420.907,415.628,420.688,15264449.896166
2024-08-20,420.858,425.009,420.798,423.951,16420383.035994
2024-08-21,423.228,425.548,420.878,423.293,16099458.944762
2024-08-22,423.512,425.937,413.782,414.72,19400656.553581
2024-08-23,416.147,418.422,411.267,415.957,18530801.895956
2024-08-26,415.533,416.446,410.518,412.664,13179157.229326
2024-08-27,412.035,413.532,409.43,413.013,13519918.949025
2024-08-28,414.051,414.171,406.496,409.78,14912449.726074
2024-08-29,414.111,421.207,409.78,412.295,17079359.434491
2024-08-30,414.77,416.656,411.307,416.307,24356980.511221
2024-09-03,417.075,419.041,406.217,408.622,20354263.518278
2024-09-04,405.099,410.418,403.562,408.083,15166102.433208
2024-09-05,406.806,412.275,405.319,407.574,14223930.311227
2024-09-06,408.243,409.83,399.999,400.898,19648777.209662
2024-09-09,406.426,407.834,401.347,404.91,15325749.35049
2024-09-10,407.385,415.498,406.886,413.373,19633507.706671
2024-09-11,414.67,423.143,408.762,422.195,19305488.441827
2024-09-12,422.464,426.515,418.911,426.147,17453625.083023
2024-09-13,424.974,430.967,424.61,429.73,15906330.142683
2024-09-16,429.74,432.664,427.365,430.478,13862389.08152
2024-09-17,439.351,440.967,431.406,434.281,18912010.413851
2024-09-18,434.131,435.159,429.55,429.949,18935869.074899
2024-09-19,440.344,440.618,436.027,437.814,21750007.714586
2024-09-20,436.347,438.363,433.353,434.4,55277530.680537
2024-09-23,433.412,435.588,429.529,432.644,15159173.591868
2024-09-24,432.135,432.484,425.249,428.313,17049813.412135
2024-09-25,428.971,432.254,427.714,431.247,13423178.696697
2024-09-26,434.216,434.43,428.273,430.448,14521051.853503
2024-09-27,430.658,430.987,426.616,427.165,14925947.690165
2024-09-30,427.355,429.56,424.52,429.44,16888342.851868
2024-10-01,427.594,427.624,417.973,419.85,19131162.200521
2024-10-02,421.736,421.975,415.878,416.297,16615448.707243
2024-10-03,416.796,418.712,413.462,415.708,13713816.286362
2024-10-04,417.405,418.911,414.141,415.229,19229326.297178
2024-10-07,415.169,416.277,408.183,408.722,20961634.828316
2024-10-08,410.079,414.83,407.355,413.882,19267751.056065
2024-10-09,415.029,419.54,413.472,416.626,15004230.070284
2024-10-10,414.396,416.516,412.325,415.009,13876095.461952
2024-10-11,415.304,416.297,412.424,415.488,14173257.084294
2024-10-14,416.935,423.193,416.686,418.303,16686419.481396
2024-10-15,421.337,421.636,414.43,417.904,18938032.39644
2024-10-16,414.341,415.528,409.66,415.289,15539975.297098
2024-10-17,421.516,421.656,414.76,415.888,14849668.311325
2024-10-18,416.307,418.812,415.429,417.325,17179635.750605
2024-10-21,415.289,418.123,412.924,417.943,14234550.526608
2024-10-22,417.654,429.719,417.205,426.656,25533203.182255
2024-10-23,429.994,430.219,421.686,423.752,19693719.989216
2024-10-24,424.475,425.127,421.556,423.882,13608816.534517
2024-10-25,425.907,431.656,425.713,427.295,16932889.840775
2024-10-28,430.793,431.077,425.448,425.738,14912233.29372
2024-10-29,427.145,432.305,424.95,431.087,17679397.094527
2024-10-30,436.561,437.624,431.237,431.666,29808696.083629
